Wk,Date,Time,Day,Winner,Pts_W,Location,Loser,Pts_L,TV,Rank_W,Rank_L,Outcome
5,Oct 3 2015,12:00 PM,Sat,Texas Christian,50,Home,Texas,7,,4,,L
5,Oct 3 2015,8:00 PM,Sat,Texas-San Antonio,25,Away,Texas-El Paso,6,,,,L
5,Oct 3 2015,3:00 PM,Sat,Toledo,24,Away,Ball State,10,,,,W
5,Oct 3 2015,12:00 PM,Sat,Tulane,45,Home,Central Florida,31,,,,W
5,Oct 3 2015,7:00 PM,Sat,Utah State,33,Home,Colorado State,18,,,,W
5,Oct 3 2015,7:00 PM,Sat,Vanderbilt,17,Away,Middle Tennessee State,13,CBSSN,,,W
5,Oct 3 2015,3:30 PM,Sat,Western Kentucky,49,Away,Rice,10,,,,W
6,Oct 8 2015,8:00 PM,Thu,Houston,49,Home,Southern Methodist,28,ESPN2,,,W
6,Oct 8 2015,9:00 PM,Thu,Washington,17,Away,Southern California,12,ESPN,,17,W
6,Oct 9 2015,7:00 PM,Fri,Marshall,31,Home,Southern Mississippi,10,CBSSN,,,W
6,Oct 9 2015,8:00 PM,Fri,Virginia Tech,28,Home,North Carolina State,13,ESPN,,,W
6,Oct 10 2015,10:15 PM,Sat,Air Force,31,Home,Wyoming,17,,,,W
6,Oct 10 2015,3:00 PM,Sat,Akron,47,Away,Eastern Michigan,21,,,,W
6,Oct 10 2015,7:00 PM,Sat,Alabama,27,Home,Arkansas,14,,8,,W
6,Oct 10 2015,3:30 PM,Sat,Appalachian State,37,Away,Georgia State,3,,,,W
6,Oct 10 2015,4:00 PM,Sat,Arizona,44,Home,Oregon State,7,,,,L
6,Oct 10 2015,10:00 PM,Sat,Arizona State,48,Home,Colorado,23,,,,W
6,Oct 10 2015,12:00 PM,Sat,Baylor,66,Away,Kansas,7,,3,,L
6,Oct 10 2015,7:00 PM,Sat,Boise State,41,Away,Colorado State,10,CBSSN,25,,W
6,Oct 10 2015,2:00 PM,Sat,Bowling Green State,62,Home,Massachusetts,38,,,,W
6,Oct 10 2015,7:30 PM,Sat,Brigham Young,45,Home,East Carolina,38,,,,W
6,Oct 10 2015,3:30 PM,Sat,Clemson,43,Home,Georgia Tech,24,,6,,W
6,Oct 10 2015,3:45 PM,Sat,Connecticut,40,Away,Central Florida,13,,,,W
6,Oct 10 2015,12:00 PM,Sat,Duke,44,Away,Army,3,CBSSN,,,W
6,Oct 10 2015,7:30 PM,Sat,Florida,21,Away,Missouri,3,,11,,L
6,Oct 10 2015,12:00 PM,Sat,Florida International,52,Home,Texas-El Paso,12,,,,W
6,Oct 10 2015,8:00 PM,Sat,Florida State,29,Home,Miami (FL),24,,12,,W
6,Oct 10 2015,12:00 PM,Sat,Iowa,29,Home,Illinois,20,,22,,W
6,Oct 10 2015,3:30 PM,Sat,Louisiana State,45,Away,South Carolina,24,,7,,W
6,Oct 10 2015,7:00 PM,Sat,Louisiana Tech,34,Away,Texas-San Antonio,31,,,,W
6,Oct 10 2015,7:00 PM,Sat,Louisiana-Lafayette,49,Home,Texas State,27,,,,W
6,Oct 10 2015,3:30 PM,Sat,Michigan,38,Home,Northwestern,0,,18,13,W
6,Oct 10 2015,8:00 PM,Sat,Michigan State,31,Away,Rutgers,24,BTN,4,,W
6,Oct 10 2015,3:30 PM,Sat,Minnesota,41,Away,Purdue,13,,,,W
6,Oct 10 2015,12:00 PM,Sat,Mississippi,52,Home,New Mexico State,3,,14,,W
6,Oct 10 2015,4:00 PM,Sat,Mississippi State,45,Home,Troy,17,,,,W
6,Oct 10 2015,7:00 PM,Sat,Nevada,35,Home,New Mexico,17,,,,W
6,Oct 10 2015,3:30 PM,Sat,Northern Illinois,59,Home,Ball State,41,,,,W
6,Oct 10 2015,3:30 PM,Sat,Notre Dame,41,Home,Navy,24,NBC,15,,W
6,Oct 10 2015,2:00 PM,Sat,Ohio,34,Home,Miami (OH),3,,,,W
6,Oct 10 2015,12:00 PM,Sat,Ohio State,49,Home,Maryland,28,,1,,W
6,Oct 10 2015,7:00 PM,Sat,Oklahoma State,33,Away,West Virginia,26,,21,,W
6,Oct 10 2015,12:00 PM,Sat,Penn State,29,Home,Indiana,7,,,,L
6,Oct 10 2015,12:30 PM,Sat,Pittsburgh,26,Home,Virginia,19,,,,W
6,Oct 10 2015,5:00 PM,Sat,Portland State,66,Away,North Texas,7,,,,L
6,Oct 10 2015,2:30 PM,Sat,Rice,27,Away,Florida Atlantic,26,,,,W
6,Oct 10 2015,11:59 PM,Sat,San Diego State,28,Away,Hawaii,14,,,,W
6,Oct 10 2015,9:00 PM,Sat,San Jose State,33,Away,Nevada-Las Vegas,27,,,,W
6,Oct 10 2015,3:30 PM,Sat,South Florida,45,Home,Syracuse,24,,,,W
6,Oct 10 2015,12:00 PM,Sat,Temple,49,Home,Tulane,10,,,,W
6,Oct 10 2015,3:30 PM,Sat,Tennessee,38,Home,Georgia,31,,,19,W
6,Oct 10 2015,12:00 PM,Sat,Texas,24,Home,Oklahoma,17,,,10,W
6,Oct 10 2015,7:30 PM,Sat,Texas Christian,52,Away,Kansas State,45,,2,,W
6,Oct 10 2015,3:30 PM,Sat,Texas Tech,66,Home,Iowa State,31,,,,W
6,Oct 10 2015,3:00 PM,Sat,Toledo,38,Home,Kent State,7,,24,,L
6,Oct 10 2015,6:00 PM,Sat,Tulsa,34,Home,Louisiana-Monroe,24,,,,W
6,Oct 10 2015,10:00 PM,Sat,Utah,30,Home,California,24,,5,23,W
6,Oct 10 2015,10:30 PM,Sat,Utah State,56,Away,Fresno State,14,CBSSN,,,W
6,Oct 10 2015,3:00 PM,Sat,Wake Forest,3,Away,Boston College,0,,,,W
6,Oct 10 2015,6:00 PM,Sat,Washington State,45,Away,Oregon,38,,,,W
6,Oct 10 2015,12:00 PM,Sat,Western Kentucky,58,Home,Middle Tennessee State,28,,,,W
6,Oct 10 2015,12:00 PM,Sat,Western Michigan,41,Home,Central Michigan,39,,,,W
6,Oct 10 2015,3:30 PM,Sat,Wisconsin,23,Away,Nebraska,21,,,,W
7,Oct 13 2015,8:00 PM,Tue,Arkansas State,49,Away,South Alabama,31,ESPN2,,,W
7,Oct 15 2015,7:00 PM,Thu,Auburn,30,Away,Kentucky,27,ESPN,,,W
7,Oct 15 2015,10:30 PM,Thu,Stanford,56,Home,UCLA,35,ESPN,15,18,W
7,Oct 15 2015,7:30 PM,Thu,Western Kentucky,55,Away,North Texas,28,CBSSN,,,W
7,Oct 16 2015,8:00 PM,Fri,Brigham Young,38,Home,Cincinnati,24,ESPN,,,W
7,Oct 16 2015,10:30 PM,Fri,Fresno State,31,Home,Nevada-Las Vegas,28,ESPN2,,,W
7,Oct 16 2015,9:00 PM,Fri,Houston,42,Away,Tulane,7,ESPNU,24,,L
7,Oct 16 2015,9:00 PM,Fri,Utah State,52,Home,Boise State,26,CBSSN,,21,W
7,Oct 17 2015,3:30 PM,Sat,Alabama,41,Away,Texas A&amp;M,23,,10,9,W
7,Oct 17 2015,7:00 PM,Sat,Appalachian State,59,Away,Louisiana-Monroe,14,,,,W
7,Oct 17 2015,9:00 PM,Sat,Arizona,38,Away,Colorado,31,,,,W
7,Oct 17 2015,12:00 PM,Sat,Army,21,Home,Bucknell,14,CBSSN,,,W
7,Oct 17 2015,12:00 PM,Sat,Baylor,62,Home,West Virginia,38,,2,,W
7,Oct 17 2015,3:00 PM,Sat,Bowling Green State,59,Home,Akron,10,,,,W
7,Oct 17 2015,1:00 PM,Sat,Central Michigan,51,Home,Buffalo,14,,,,W
7,Oct 17 2015,7:00 PM,Sat,Clemson,34,Home,Boston College,17,,5,,W
7,Oct 17 2015,3:30 PM,Sat,Colorado State,38,Home,Air Force,23,CBSSN,,,W
7,Oct 17 2015,12:00 PM,Sat,East Carolina,30,Home,Tulsa,17,,,,W
7,Oct 17 2015,12:00 PM,Sat,Florida State,41,Home,Louisville,21,,11,,W
7,Oct 17 2015,7:30 PM,Sat,Georgia,9,Home,Missouri,6,,,,W
7,Oct 17 2015,6:00 PM,Sat,Georgia Southern,56,Home,New Mexico State,26,,,,W
7,Oct 17 2015,3:00 PM,Sat,Georgia State,31,Away,Ball State,19,,,,W
7,Oct 17 2015,3:30 PM,Sat,Idaho,19,Away,Troy,16,,,,W
7,Oct 17 2015,12:00 PM,Sat,Iowa,40,Away,Northwestern,10,,17,20,W
7,Oct 17 2015,3:30 PM,Sat,Kent State,15,Away,Massachusetts,10,,,,W
7,Oct 17 2015,7:00 PM,Sat,Louisiana State,35,Home,Florida,28,,6,8,W
7,Oct 17 2015,12:00 PM,Sat,Marshall,33,Away,Florida Atlantic,17,,,,W
7,Oct 17 2015,12:00 PM,Sat,Memphis,37,Home,Mississippi,24,,,13,W
7,Oct 17 2015,3:30 PM,Sat,Miami (FL),30,Home,Virginia Tech,20,,,,W
7,Oct 17 2015,3:30 PM,Sat,Michigan State,27,Away,Michigan,23,,7,12,W
7,Oct 17 2015,12:00 PM,Sat,Middle Tennessee State,42,Home,Florida International,34,,,,W
7,Oct 17 2015,12:00 PM,Sat,Mississippi State,45,Home,Louisiana Tech,20,,,,W
7,Oct 17 2015,3:30 PM,Sat,Nebraska,48,Away,Minnesota,25,,,,W
7,Oct 17 2015,7:00 PM,Sat,New Mexico,28,Home,Hawaii,27,,,,W
7,Oct 17 2015,7:00 PM,Sat,North Carolina,50,Home,Wake Forest,14,,,,W
7,Oct 17 2015,2:30 PM,Sat,Northern Illinois,45,Away,Miami (OH),12,,,,W
7,Oct 17 2015,7:30 PM,Sat,Notre Dame,41,Home,Southern California,31,NBC,14,,W
7,Oct 17 2015,8:00 PM,Sat,Ohio State,38,Home,Penn State,10,ABC,1,,W
7,Oct 17 2015,3:30 PM,Sat,Oklahoma,55,Away,Kansas State,0,,19,,W
7,Oct 17 2015,3:30 PM,Sat,Old Dominion,37,Home,Charlotte,34,,,,W
7,Oct 17 2015,10:30 PM,Sat,Oregon,26,Away,Washington,20,,,,W
7,Oct 17 2015,12:30 PM,Sat,Pittsburgh,31,Away,Georgia Tech,28,,,,W
7,Oct 17 2015,3:30 PM,Sat,Rutgers,55,Away,Indiana,52,,,,W
7,Oct 17 2015,10:30 PM,Sat,San Diego State,30,Away,San Jose State,7,,,,L
7,Oct 17 2015,4:00 PM,Sat,South Carolina,19,Home,Vanderbilt,10,,,,W
7,Oct 17 2015,12:00 PM,Sat,South Florida,28,Away,Connecticut,20,,,,W
7,Oct 17 2015,7:00 PM,Sat,Southern Mississippi,32,Home,Texas-San Antonio,10,,,,W
7,Oct 17 2015,7:30 PM,Sat,Temple,30,Home,Central Florida,16,,,,W
7,Oct 17 2015,7:00 PM,Sat,Texas Christian,45,Away,Iowa State,21,,3,,W
7,Oct 17 2015,12:00 PM,Sat,Texas Tech,30,Away,Kansas,20,,,,W
7,Oct 17 2015,12:00 PM,Sat,Toledo,63,Home,Eastern Michigan,20,,22,,W
7,Oct 17 2015,10:00 PM,Sat,Utah,34,Home,Arizona State,18,,4,,W
7,Oct 17 2015,3:30 PM,Sat,Virginia,44,Home,Syracuse,38,,,,W
7,Oct 17 2015,4:00 PM,Sat,Washington State,52,Home,Oregon State,31,,,,W
7,Oct 17 2015,12:00 PM,Sat,Western Michigan,49,Away,Ohio,14,,,,W
7,Oct 17 2015,12:00 PM,Sat,Wisconsin,24,Home,Purdue,7,,,,L
7,Oct 17 2015,4:00 PM,Sat,Wyoming,28,Home,Nevada,21,,,,W
8,Oct 20 2015,8:00 PM,Tue,Arkansas State,37,Home,Louisiana-Lafayette,27,ESPN2,,,W
8,Oct 22 2015,7:30 PM,Thu,Appalachian State,31,Home,Georgia Southern,13,ESPNU,,,W
8,Oct 22 2015,7:00 PM,Thu,Temple,24,Away,East Carolina,14,ESPN2,22,,W
8,Oct 22 2015,9:00 PM,Thu,UCLA,40,Home,California,24,ESPN,,20,W
8,Oct 23 2015,8:00 PM,Fri,Memphis,66,Away,Tulsa,42,ESPN,18,,W
8,Oct 23 2015,10:30 PM,Fri,San Diego State,48,Home,Utah State,14,ESPN2,,,W
8,Oct 24 2015,2:00 PM,Sat,Air Force,42,Home,Fresno State,14,,,,W
8,Oct 24 2015,3:30 PM,Sat,Alabama,19,Home,Tennessee,14,,8,,W
8,Oct 24 2015,12:00 PM,Sat,Arkansas,54,Home,Auburn,46,,,,W
8,Oct 24 2015,12:00 PM,Sat,Baylor,45,Home,Iowa State,27,,2,,W
8,Oct 24 2015,10:15 PM,Sat,Boise State,34,Home,Wyoming,14,,,,W
8,Oct 24 2015,1:00 PM,Sat,Bowling Green State,48,Away,Kent State,0,,,,W
8,Oct 24 2015,3:00 PM,Sat,Brigham Young,70,Home,Wagner,6,,,,W
8,Oct 24 2015,3:30 PM,Sat,Buffalo,41,Home,Ohio,17,,,,W
8,Oct 24 2015,3:00 PM,Sat,Central Michigan,23,Away,Ball State,21,,,,W
8,Oct 24 2015,4:30 PM,Sat,Cincinnati,37,Home,Connecticut,13,,,,W
8,Oct 24 2015,12:00 PM,Sat,Clemson,58,Away,Miami (FL),0,,6,,W
8,Oct 24 2015,10:30 PM,Sat,Colorado,17,Away,Oregon State,13,,,,W
8,Oct 24 2015,3:30 PM,Sat,Duke,45,Away,Virginia Tech,43,,23,,W
8,Oct 24 2015,6:00 PM,Sat,Florida International,41,Home,Old Dominion,12,,,,W
8,Oct 24 2015,7:00 PM,Sat,Georgia Tech,22,Home,Florida State,16,,,9,W
8,Oct 24 2015,12:00 PM,Sat,Houston,59,Away,Central Florida,10,,21,,W
8,Oct 24 2015,5:00 PM,Sat,Idaho,27,Home,Louisiana-Monroe,13,,,,W
8,Oct 24 2015,7:00 PM,Sat,Louisiana State,48,Home,Western Kentucky,20,,5,,W
8,Oct 24 2015,3:30 PM,Sat,Louisiana Tech,45,Home,Middle Tennessee State,16,,,,W
8,Oct 24 2015,12:30 PM,Sat,Louisville,17,Home,Boston College,14,,,,W
8,Oct 24 2015,3:30 PM,Sat,Marshall,30,Home,North Texas,13,,,,W
8,Oct 24 2015,3:30 PM,Sat,Michigan State,52,Home,Indiana,26,,7,,W
8,Oct 24 2015,7:00 PM,Sat,Mississippi,23,Home,Texas A&amp;M,3,,24,15,L
8,Oct 24 2015,7:30 PM,Sat,Mississippi State,42,Home,Kentucky,16,,,,W
8,Oct 24 2015,1:00 PM,Sat,Navy,31,Home,Tulane,14,CBSSN,,,W
8,Oct 24 2015,4:00 PM,Sat,Nevada,30,Home,Hawaii,20,,,,W
8,Oct 24 2015,3:30 PM,Sat,North Carolina,26,Home,Virginia,13,,,,W
8,Oct 24 2015,12:00 PM,Sat,North Carolina State,35,Away,Wake Forest,17,,,,W
8,Oct 24 2015,3:30 PM,Sat,Northern Illinois,49,Home,Eastern Michigan,21,,,,W
8,Oct 24 2015,12:00 PM,Sat,Northwestern,30,Away,Nebraska,28,,,,W
8,Oct 24 2015,8:00 PM,Sat,Ohio State,49,Away,Rutgers,7,ABC,1,,L
8,Oct 24 2015,3:30 PM,Sat,Oklahoma,63,Home,Texas Tech,27,,17,,W
8,Oct 24 2015,3:30 PM,Sat,Oklahoma State,58,Home,Kansas,10,,14,,W
8,Oct 24 2015,3:30 PM,Sat,Penn State,31,Home,Maryland,30,,,,W
8,Oct 24 2015,12:00 PM,Sat,Pittsburgh,23,Away,Syracuse,20,,25,,W
8,Oct 24 2015,12:00 PM,Sat,Rice,38,Home,Army,31,,,,W
8,Oct 24 2015,7:00 PM,Sat,San Jose State,31,Home,New Mexico,21,,,,W
8,Oct 24 2015,4:00 PM,Sat,South Florida,38,Home,Southern Methodist,14,,,,W
8,Oct 24 2015,7:30 PM,Sat,Southern California,42,Home,Utah,24,,,3,W
8,Oct 24 2015,12:00 PM,Sat,Southern Mississippi,44,Away,Charlotte,10,,,,W
8,Oct 24 2015,10:30 PM,Sat,Stanford,31,Home,Washington,14,,10,,W
8,Oct 24 2015,12:00 PM,Sat,Texas,23,Home,Kansas State,9,,,,L
8,Oct 24 2015,7:00 PM,Sat,Texas State,36,Home,South Alabama,18,,,,W
8,Oct 24 2015,7:00 PM,Sat,Texas-El Paso,27,Home,Florida Atlantic,17,,,,W
8,Oct 24 2015,3:00 PM,Sat,Toledo,51,Away,Massachusetts,35,,19,,W
8,Oct 24 2015,8:00 PM,Sat,Troy,52,Away,New Mexico State,7,,,,L
8,Oct 24 2015,4:00 PM,Sat,Vanderbilt,10,Home,Missouri,3,,,,L
8,Oct 24 2015,4:00 PM,Sat,Washington State,45,Away,Arizona,42,,,,W
8,Oct 24 2015,2:00 PM,Sat,Western Michigan,35,Home,Miami (OH),13,,,,W
8,Oct 24 2015,3:30 PM,Sat,Wisconsin,24,Away,Illinois,13,,,,W
9,Oct 29 2015,7:30 PM,Thu,Buffalo,29,Away,Miami (OH),24,,,,W
9,Oct 29 2015,7:30 PM,Thu,Georgia Southern,37,Home,Texas State,13,ESPNU,,,W
9,Oct 29 2015,7:00 PM,Thu,North Carolina,26,Away,Pittsburgh,19,ESPN,,23,W
9,Oct 29 2015,10:30 PM,Thu,Oregon,61,Away,Arizona State,55,ESPN,,,W
9,Oct 29 2015,7:30 PM,Thu,Texas Christian,40,Home,West Virginia,10,FOXS1,5,,W
9,Oct 29 2015,7:30 PM,Thu,Western Michigan,58,Away,Eastern Michigan,28,,,,W
9,Oct 30 2015,7:00 PM,Fri,Connecticut,31,Home,East Carolina,13,ESPNU,,,W
9,Oct 30 2015,8:00 PM,Fri,Louisiana Tech,42,Away,Rice,17,FOXS1,,,W
9,Oct 30 2015,7:02 PM,Fri,Louisville,20,Away,Wake Forest,19,ESPN2,,,W
9,Oct 30 2015,10:15 PM,Fri,Utah State,58,Home,Wyoming,27,ESPN2,,,W
9,Oct 31 2015,10:30 PM,Sat,Air Force,58,Away,Hawaii,7,CBSSN,,,L
9,Oct 31 2015,3:30 PM,Sat,Appalachian State,44,Home,Troy,41,,,,W
9,Oct 31 2015,4:00 PM,Sat,Arkansas,63,Home,Tennessee-Martin,28,,,,W
9,Oct 31 2015,7:00 PM,Sat,Arkansas State,48,Home,Georgia State,34,,,,W
9,Oct 31 2015,1:00 PM,Sat,Ball State,20,Home,Massachusetts,10,,,,W
9,Oct 31 2015,3:30 PM,Sat,Boise State,55,Away,Nevada-Las Vegas,27,,,,W
9,Oct 31 2015,2:00 PM,Sat,Central Michigan,14,Away,Akron,6,,,,L
9,Oct 31 2015,12:00 PM,Sat,Cincinnati,52,Home,Central Florida,7,,,,L
9,Oct 31 2015,3:30 PM,Sat,Clemson,56,Away,North Carolina State,41,,3,,W
9,Oct 31 2015,3:30 PM,Sat,Florida,27,Home,Georgia,3,CBS,11,,L
9,Oct 31 2015,3:30 PM,Sat,Florida Atlantic,31,Home,Florida International,17,,,,W
9,Oct 31 2015,12:00 PM,Sat,Florida State,45,Home,Syracuse,21,,17,,W
9,Oct 31 2015,7:00 PM,Sat,Houston,34,Home,Vanderbilt,0,,18,,W
9,Oct 31 2015,3:30 PM,Sat,Iowa,31,Home,Maryland,15,,10,,W
9,Oct 31 2015,7:00 PM,Sat,Iowa State,24,Home,Texas,0,,,,W
9,Oct 31 2015,5:00 PM,Sat,Louisiana-Lafayette,30,Home,Louisiana-Monroe,24,,,,W
9,Oct 31 2015,3:30 PM,Sat,Marshall,34,Away,Charlotte,10,,,,W
9,Oct 31 2015,7:00 PM,Sat,Memphis,41,Home,Tulane,13,,16,,W
9,Oct 31 2015,7:00 PM,Sat,Miami (FL),30,Away,Duke,27,,,22,W
9,Oct 31 2015,7:00 PM,Sat,Michigan,29,Away,Minnesota,26,ABC,15,,W
9,Oct 31 2015,12:00 PM,Sat,Mississippi,27,Away,Auburn,19,,19,,W
9,Oct 31 2015,12:00 PM,Sat,Navy,29,Home,South Florida,17,CBSSN,,,W
9,Oct 31 2015,8:00 PM,Sat,New Mexico State,55,Home,Idaho,48,,,,W
9,Oct 31 2015,7:00 PM,Sat,North Texas,30,Home,Texas-San Antonio,23,,,,W
9,Oct 31 2015,8:00 PM,Sat,Notre Dame,24,Away,Temple,20,,9,21,W
9,Oct 31 2015,3:30 PM,Sat,Oklahoma,62,Away,Kansas,7,,14,,L
9,Oct 31 2015,3:30 PM,Sat,Oklahoma State,70,Away,Texas Tech,53,,12,,W
9,Oct 31 2015,12:00 PM,Sat,Penn State,39,Home,Illinois,0,,,,W
9,Oct 31 2015,12:00 PM,Sat,Purdue,55,Home,Nebraska,45,,,,W
9,Oct 31 2015,3:30 PM,Sat,San Diego State,41,Away,Colorado State,17,CBSSN,,,W
9,Oct 31 2015,3:00 PM,Sat,Southern California,27,Away,California,21,,,,W
9,Oct 31 2015,2:30 PM,Sat,Southern Mississippi,34,Home,Texas-El Paso,13,,,,W
9,Oct 31 2015,10:30 PM,Sat,Stanford,30,Away,Washington State,28,,8,,W
9,Oct 31 2015,7:30 PM,Sat,Tennessee,52,Away,Kentucky,21,,,,W
9,Oct 31 2015,12:00 PM,Sat,Texas A&amp;M,35,Home,South Carolina,28,,,,W
9,Oct 31 2015,4:00 PM,Sat,Tulsa,40,Away,Southern Methodist,31,,,,W
9,Oct 31 2015,3:00 PM,Sat,UCLA,35,Home,Colorado,31,,24,,W
9,Oct 31 2015,7:00 PM,Sat,Utah,27,Home,Oregon State,12,,13,,W
9,Oct 31 2015,3:00 PM,Sat,Virginia,27,Home,Georgia Tech,21,,,,W
9,Oct 31 2015,12:30 PM,Sat,Virginia Tech,26,Away,Boston College,10,,,,W
9,Oct 31 2015,11:00 PM,Sat,Washington,49,Home,Arizona,3,,,,W
9,Oct 31 2015,12:00 PM,Sat,Western Kentucky,55,Away,Old Dominion,30,,,,W
9,Oct 31 2015,12:00 PM,Sat,Wisconsin,48,Home,Rutgers,10,,,,W
10,Nov 3 2015,8:00 PM,Tue,Northern Illinois,32,Away,Toledo,27,ESPN2,,20,W
10,Nov 4 2015,8:00 PM,Wed,Bowling Green State,62,Home,Ohio,24,ESPN2,,,W
10,Nov 5 2015,7:30 PM,Thu,Arkansas State,40,Away,Appalachian State,27,ESPNU,,,W
10,Nov 5 2015,7:30 PM,Thu,Baylor,31,Away,Kansas State,24,FOXS1,2,,W
10,Nov 5 2015,7:00 PM,Thu,Buffalo,18,Away,Kent State,17,,,,W
10,Nov 5 2015,9:00 PM,Thu,Mississippi State,31,Away,Missouri,13,ESPN,24,,W
10,Nov 5 2015,10:30 PM,Thu,Nevada,30,Away,Fresno State,16,ESPN2,,,W
10,Nov 5 2015,7:30 PM,Thu,Western Michigan,54,Home,Ball State,7,,,,L
10,Nov 6 2015,11:30 PM,Fri,Brigham Young,17,Away,San Jose State,16,CBSSN,,,W
10,Nov 6 2015,8:00 PM,Fri,Temple,60,Away,Southern Methodist,40,ESPN2,23,,W
10,Nov 6 2015,8:00 PM,Fri,Texas-El Paso,24,Home,Rice,21,CBSSN,,,W
10,Nov 7 2015,3:30 PM,Sat,Air Force,20,Home,Army,3,,,,L
10,Nov 7 2015,12:00 PM,Sat,Akron,17,Away,Massachusetts,13,,,,W
10,Nov 7 2015,8:00 PM,Sat,Alabama,30,Home,Louisiana State,16,,7,4,W
10,Nov 7 2015,3:30 PM,Sat,Arkansas,53,Away,Mississippi,52,,,19,W
10,Nov 7 2015,7:30 PM,Sat,Auburn,26,Away,Texas A&amp;M,10,,,25,W
10,Nov 7 2015,3:30 PM,Sat,Clemson,23,Home,Florida State,13,,3,17,W
10,Nov 7 2015,3:00 PM,Sat,Colorado State,26,Away,Wyoming,7,,,,L
10,Nov 7 2015,4:00 PM,Sat,Connecticut,7,Away,Tulane,3,,,,W
10,Nov 7 2015,12:00 PM,Sat,Florida,9,Home,Vanderbilt,7,,11,,W
10,Nov 7 2015,12:00 PM,Sat,Florida International,48,Home,Charlotte,31,,,,W
10,Nov 7 2015,12:00 PM,Sat,Georgia,27,Home,Kentucky,3,,,,L
10,Nov 7 2015,3:30 PM,Sat,Houston,33,Home,Cincinnati,30,,18,,W
10,Nov 7 2015,12:00 PM,Sat,Illinois,48,Away,Purdue,14,,,,W
10,Nov 7 2015,3:30 PM,Sat,Iowa,35,Away,Indiana,27,,10,,W
10,Nov 7 2015,3:30 PM,Sat,Louisiana Tech,56,Home,North Texas,13,,,,W
10,Nov 7 2015,2:00 PM,Sat,Louisiana-Lafayette,23,Away,Georgia State,21,,,,W
10,Nov 7 2015,12:30 PM,Sat,Louisville,41,Home,Syracuse,17,,,,W
10,Nov 7 2015,3:00 PM,Sat,Miami (FL),27,Home,Virginia,21,,,,W
10,Nov 7 2015,2:30 PM,Sat,Miami (OH),28,Home,Eastern Michigan,13,,,,W
10,Nov 7 2015,3:30 PM,Sat,Michigan,49,Home,Rutgers,16,,16,,W
10,Nov 7 2015,3:30 PM,Sat,Middle Tennessee State,27,Home,Marshall,24,,,,W
10,Nov 7 2015,7:00 PM,Sat,Navy,45,Away,Memphis,20,,,15,W
10,Nov 7 2015,7:00 PM,Sat,Nebraska,39,Home,Michigan State,38,,,6,W
10,Nov 7 2015,6:00 PM,Sat,Nevada-Las Vegas,41,Home,Hawaii,21,,,,W
10,Nov 7 2015,3:30 PM,Sat,New Mexico,14,Home,Utah State,13,CBSSN,,,W
10,Nov 7 2015,4:00 PM,Sat,New Mexico State,31,Away,Texas State,21,,,,W
10,Nov 7 2015,12:00 PM,Sat,North Carolina,66,Home,Duke,31,,21,,W
10,Nov 7 2015,12:30 PM,Sat,North Carolina State,24,Away,Boston College,8,,,,L
10,Nov 7 2015,12:00 PM,Sat,Northwestern,23,Home,Penn State,21,,,,W
10,Nov 7 2015,12:00 PM,Sat,Notre Dame,42,Away,Pittsburgh,30,,8,,W
10,Nov 7 2015,8:00 PM,Sat,Ohio State,28,Home,Minnesota,14,,1,,W
10,Nov 7 2015,7:00 PM,Sat,Oklahoma,52,Home,Iowa State,16,,14,,W
10,Nov 7 2015,3:30 PM,Sat,Oklahoma State,49,Home,Texas Christian,29,,12,5,W
10,Nov 7 2015,7:00 PM,Sat,Old Dominion,36,Away,Texas-San Antonio,31,,,,W
10,Nov 7 2015,10:30 PM,Sat,Oregon,44,Home,California,28,,,,W
10,Nov 7 2015,3:00 PM,Sat,South Alabama,52,Home,Idaho,45,,,,W
10,Nov 7 2015,7:30 PM,Sat,South Florida,22,Away,East Carolina,17,,,,W
10,Nov 7 2015,10:30 PM,Sat,Southern California,38,Home,Arizona,30,,,,W
10,Nov 7 2015,1:00 PM,Sat,Stanford,42,Away,Colorado,10,,9,,W
10,Nov 7 2015,4:00 PM,Sat,Tennessee,27,Home,South Carolina,24,,,,W
10,Nov 7 2015,8:00 PM,Sat,Texas,59,Home,Kansas,20,,,,W
10,Nov 7 2015,3:30 PM,Sat,Troy,51,Home,Louisiana-Monroe,14,,,,W
10,Nov 7 2015,12:00 PM,Sat,Tulsa,45,Home,Central Florida,30,,,,W
10,Nov 7 2015,4:30 PM,Sat,UCLA,41,Away,Oregon State,0,,22,,W
10,Nov 7 2015,7:30 PM,Sat,Utah,34,Away,Washington,23,,13,,W
10,Nov 7 2015,3:30 PM,Sat,Washington State,38,Home,Arizona State,24,,,,W
10,Nov 7 2015,12:00 PM,Sat,West Virginia,31,Home,Texas Tech,26,,,,W
10,Nov 7 2015,12:00 PM,Sat,Western Kentucky,35,Home,Florida Atlantic,19,,,,W
10,Nov 7 2015,3:30 PM,Sat,Wisconsin,31,Away,Maryland,24,,,,W
11,Nov 10 2015,8:00 PM,Tue,Ohio,27,Home,Kent State,0,ESPN2,,,W
11,Nov 10 2015,8:00 PM,Tue,Toledo,28,Away,Central Michigan,23,ESPN2,,,W
11,Nov 11 2015,8:00 PM,Wed,Bowling Green State,41,Away,Western Michigan,27,ESPN2,,,W
11,Nov 11 2015,8:00 PM,Wed,Northern Illinois,41,Away,Buffalo,30,ESPN2,,,W
